filters,fc_size,dropout,val_loss
"(32, 32, 64, 64)",512,0.5,0.05863869906618045
"(48, 96, 192)",1024,0.5,0.05873428514370552
"(32, 64, 128)",512,0.5,0.058905888157777295
"(16, 32, 64, 128)",1024,0.5,0.059024658818275504
"(32, 32, 64, 64)",1024,0.5,0.059102308530455984
"(64, 128, 128)",512,0.5,0.0596236540721013
"(32, 32, 64, 64)",256,0.5,0.059687840298582345
"(16, 32, 64, 128)",256,0.5,0.059687900309188247
"(48, 96, 192)",256,0.5,0.060231044792976134
"(32, 64)",256,0.5,0.0604696786031127
"(64, 128, 128)",1024,0.5,0.060836430901709274
"(48, 96, 192)",512,0.5,0.06093295673147226
"(32, 64, 128, 256)",1024,0.5,0.06094188262254764
"(64, 128, 128)",256,0.5,0.061144658006154574
"(64, 128, 256)",256,0.5,0.06142652170875898
